,brand,category,stars,num_of_reviews,disc_price,act_price
0,Sparx,Mens Sm-796 Running  ,3.6,(18),"₹2,232","₹2,349"
1,Sparx,Men Sports Shoes  ,3.9,"(4,391)",₹922,"₹1,049"
2,Sparx,Men's Running Shoes  ,4.0,"(7,100)","₹1,274","₹1,499"
3,Sparx,Men's Running Shoes  ,4.0,"(15,400)",₹934,"₹1,099"
4,Reebok,Mens Stride Runner M Running Shoe  ,3.4,(6),"₹1,259","₹2,099"
5,Sparx,Mens Sx0680g Sneaker  ,4.0,(674),"₹1,169","₹1,499"
6,layasa,Men's Sneakers Walking Shoe  ,New to Amazon,0,₹399,₹999
7,Campus,Men's OXYFIT (N) Walking Shoe  ,4.1,"(29,466)",₹699,₹999
8,ASIAN,"Men's Achiever-15 Latest Stylish Casual Sneaker,Lace-up Lightweight with Extra Cushion Shoes for Running, Walking, Gym Shoes for Men's & Boy's  ",3.4,(236),₹449,₹999
9,Woodland,Mens Gc 4447022 Sneaker  ,New to Amazon,0,"₹3,495","₹3,495"
10,ASIAN,Running Shoes Sports  ,3.8,"(7,041)",₹649,"₹1,249"
11,Adidas,Mens Midaso M Running Shoe  ,1.5,(2),"₹1,720","₹4,299"
12,Reebok,Men's Energy Runner LP Nacho/Conavy/None Running Shoes  ,4.0,"(2,643)","₹1,300","₹2,599"
13,Campus,Men's Rodeo-2 Running Shoes  ,4.0,"(13,920)",₹650,"₹1,299"
14,ASIAN,Men's Running Shoes  ,4.0,"(85,586)",₹524,₹699
15,Bourge,Mens Vega-z5 Running Shoes  ,4.2,"(70,791)",₹699,"₹1,699"
16,Bourge,Mens Loire-z1 Running Shoes  ,4.0,"(21,909)",₹583.25,"₹1,499"
17,Bourge,Womens Micam-z51 Running Shoes  ,4.1,"(9,682)",₹799,"₹1,499"
18,Sparx,Men Running Shoes  ,4.1,"(8,794)","₹1,061","₹1,249"
19,Sparx,Mens Sx0414g_spx Running Shoes  ,4.0,"(8,695)",₹714,"₹1,049"
20,Liberty,Gliders OLGREEN Mens Non-Leather Casual Shoes  ,4.0,"(8,334)",₹480,₹499
21,Sparx,Mens Sx0379g Running Shoes  ,4.1,"(5,349)","₹1,049","₹1,449"
22,Brooks,Mens Running Shoe  ,4.6,(636),"₹13,299","₹13,499"
23,Brooks,Womens 1203591b127 Running Shoe  ,4.5,(675),"₹9,183","₹13,499"
24,Brooks,Womens 1203571b127 Running Shoe  ,4.6,(488),"₹9,183","₹13,499"
25,Footfox,Womens Slip on Sneakers Ultra Lightweight Breathable Fashion Sports Gym Jogging Athletic Walking Shoes  ,4.2,"(3,314)","₹9,411.15","₹15,057.83"
26,Nunn Bush,"Men's, Kore City Walk Slip-On Sneaker  ",4.4,"(1,011)","₹13,138.01","₹21,020.81"
27,SOLETHREADS,Root-D Casual Sneaker Lightweight Lace-up Shoes for Men  ,5.0,(9),"₹1,399","₹1,999"
28,Thestron,Track Shoes Spikes Mens Womens Distance Running Sneakers Athletic Sprinting Track and Field Racing Shoes with Spikes Boys Girls …  ,4.3,(364),"₹13,598","₹19,429"
29,Red Tape,"Men's Sports Walking Shoes - Utmost Comfort, Arch Support, Dynamic Feet Support, On-Ground Traction, Soft-Cushioned Insole, Perfect for Walking & Running  ",4.5,(6),"₹1,324","₹5,299"
30,Campus,Men's Crysta Running Shoes  ,3.9,"(17,556)",₹779,"₹1,299"
31,Centrino,Men's 3392 Casual Shoes  ,3.8,"(3,853)",₹699,"₹2,199"
32,Sparx,Mens Sx0500g Running Shoe  ,4.0,"(2,437)",₹824,"₹1,049"
33,Sparx,Mens Sx9038g Running Shoe  ,3.8,(81),₹799,"₹1,449"
34,ASIAN,"Men's Carbon-02 Sports Running,Walking & Gym Shoes with Carbon Cushion Technology Phylon Sole with Memory Form Casual Sneaker Shoes for Men's & Boy's  ",3.6,(60),"₹1,199","₹2,299"
35,Fila,Men's Carmen Plus Charcoal Sport Shoes  ,4.2,(13),₹999,"₹2,499"
36,Sparx,"SM-768 Gents 8,N.Blue/Gold  ",5.0,(1),₹759,₹799
37,Campus,Men's Maxico Running Shoes  ,3.9,"(19,835)",₹675,"₹1,299"
38,Sparx,Mens Sx0722g Walking Shoe  ,4.0,(10),"₹1,135","₹1,399"
39,UJEAVETTE,UJEAVETTE 14/lot New Golf Shoe Spikes 3.0 Generation Suitable for Most Golf Shoes Stud|Golf Cap|Balls for Men|Kit Gloves|Shoes Set|Toy Stick|Course Items|Book|Sweater|Grass Seeds|Mini|Miniature Club  ,No reviews,0,"₹1,144","₹2,270"
40,Red Tape,Men's Walking Shoes  ,3.9,(377),"₹1,699","₹6,799"
41,road runner,Men's Sneaker Shoes  ,3.3,(466),₹499,₹999
42,Puma,Unisex X-Ray Closed Shoe White (37260203-3)  ,No reviews,0,"₹2,449","₹6,999"
43,Nike,Mens Flex Experience Rn 10 Running Shoe  ,3.8,(419),"₹1,899","₹4,995"
44,Generic,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.6,(662),₹341,₹499
