,brand,category,stars,num_of_reviews,disc_price,act_price
0,Sparx,Mens Sm-796 Running  ,3.6,18,2232.0,2349.0
1,Sparx,Men's Running Shoes  ,4.0,7105,1274.0,1499.0
2,Sparx,Men's Running Shoes  ,3.9,666,1230.0,1399.0
3,ANDUNE,Men's Barefoot & Minimalist Shoes - Black Blaze | Wide Toe Box | Zero Drop Sole  ,3.6,78,2499.0,2799.0
4,Campus,Men's OXYFIT (N) Walking Shoe  ,4.1,29506,699.0,999.0
5,Reebok,Mens Stride Runner M Running Shoe  ,3.6,7,1259.0,2099.0
6,layasa,Men's Sneakers Walking Shoe  ,0.0,0,399.0,999.0
7,ASIAN,Men's Wonder-13 Sports Running Shoes  ,4.0,85640,524.0,699.0
8,Bourge,Mens Vega-z5 Running Shoes  ,4.2,70800,699.0,1699.0
9,Bourge,Mens Loire-z1 Running Shoes  ,4.0,21916,58325.0,1499.0
10,Bourge,Womens Micam-z51 Running Shoes  ,4.1,9687,799.0,1499.0
11,Sparx,Men Running Shoes  ,4.1,8798,1061.0,1249.0
12,Sparx,Mens Sx0414g_spx Running Shoes  ,4.0,8697,714.0,1049.0
13,Liberty,Gliders OLGREEN Mens Non-Leather Casual Shoes  ,4.0,8341,480.0,499.0
14,Sparx,Mens Sx0379g Running Shoes  ,4.1,5352,1049.0,1449.0
15,Brooks,Mens Hyperion Tempo Running Shoe  ,4.6,636,13299.0,13499.0
16,Brooks,Womens 1203591b127 Running Shoe  ,4.5,679,9183.0,13499.0
17,Brooks,Womens 1203571b127 Running Shoe  ,4.6,493,9183.0,13499.0
18,Footfox,Womens Slip on Sneakers Ultra Lightweight Breathable Fashion Sports Gym Jogging Athletic Walking Shoes  ,4.2,3314,941115.0,1505783.0
19,Sparx,Mens Sm-738 Running Shoes Running Shoes  ,0.0,0,1852.0,1949.0
20,SOLETHREADS,Root-D Casual Sneaker Lightweight Lace-up Shoes for Men  ,5.0,9,1399.0,1999.0
21,Nunn Bush,"Men's, Kore City Walk Slip-On Sneaker  ",4.4,1011,1313801.0,2102081.0
22,ASIAN,"Carnival-02 Men's High Top Casual Chunky Fashion Sneakers,Dancing Shoes | Basketball Shoes with Rubber Outsole for Boys  ",3.9,13,999.0,1799.0
23,Reebok,Men's Energy Runner LP Nacho/Conavy/None Running Shoes  ,4.0,2653,1300.0,2599.0
24,ASIAN,Women's Trendy-21 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Women's & Girl's  ,3.6,250,699.0,999.0
25,Sparx,Mens Sx0500g Running Shoe  ,4.0,2439,824.0,1049.0
26,Centrino,Men's 3392 Casual Shoes  ,3.8,3856,699.0,2199.0
27,Fila,Men's Carmen Plus Charcoal Sport Shoes  ,4.2,13,999.0,2499.0
28,Campus,Men's Rodeo-2 Running Shoes  ,4.0,13939,650.0,1299.0
29,Campus,Men's North Plus Running Shoes  ,3.9,6639,1138.0,1699.0
30,ASIAN,"Delta-20 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Lightweight Lace-Up Shoes for Men's & Boy's  ",3.9,2265,799.0,1299.0
31,ASIAN,"Men's Achiever-15 Latest Stylish Casual Sneaker,Lace-up Lightweight with Extra Cushion Shoes for Running, Walking, Gym Shoes for Men's & Boy's  ",3.4,238,449.0,999.0
32,ASIAN,"Men's Waterproof-03 Sports Running, Walking & Gym Shoes with Max Cushion Technology | Latest Casual Sneakers,Lace up Lightweight Shoes for Men's & Boy's  ",3.6,3760,599.0,999.0
33,ASIAN,"Men's Carbon-02 Sports Running,Walking & Gym Shoes with Carbon Cushion Technology Phylon Sole with Memory Form Casual Sneaker Shoes for Men's & Boy's  ",3.7,63,1199.0,2299.0
34,Bourge,Mens Vega-z5 Running Shoes  ,4.2,70800,699.0,1499.0
35,ASIAN,"Men's Cosco-13 Sports Running,Walking & Gym, School Shoes Lightweight Eva Sole Extra Jump Casual Sneaker Lace-Up Shoes for Men's & Boy's  ",3.8,3035,599.0,999.0
36,BRUTON,Shoes for Trendy Shoes | Casual Shoes | Sports Shoes | Running Shoes | Exclusive Shoes for Men  ,3.0,135,359.0,1299.0
37,BRUTON,"Men's World shoe-01 Running, Sports, Gym, Phylon Sports Shoes  ",3.3,100,299.0,1299.0
38,Sparx,Mens Sx0708g Running Shoe  ,4.2,17,1147.0,1349.0
39,Sparx,Mens Sm-724 Sneaker  ,0.0,0,1329.0,1399.0
40,Generic,Men's Mesh Lace-Ups Running/Walking/Gym/Sports Fashion Shoes  ,2.6,665,341.0,499.0
41,Adidas,Mens Throb M Running Shoes  ,4.0,5406,1619.0,2699.0
42,Sparx,Men's Running Shoes  ,4.2,4747,1236.0,1649.0
43,Puma,Unisex X-Ray Closed Shoe White (37260203-3)  ,0.0,0,2449.0,6999.0
44,Bersache,"Sports Shoes for Men |Latest Stylish Sports Shoes for Men |Lace-Up Lightweight Red Shoes for Running, Walking, Gym,Trekking and Hiking Shoes for Men (ORI-9015)  ",3.3,113,999.0,4999.0
45,Sparx,Mens Sx0680g Sneaker  ,4.0,675,1199.0,1499.0
46,Liberty,Force 10 Sports Shoes for Men's  ,3.8,11,749.0,999.0
47,Sparx,Mens Sm-747 Casual Shoes  ,3.8,115,789.0,949.0
48,Campus,Men's Wells Running Shoes  ,4.1,1789,899.0,899.0
49,ASIAN,"Hattrick-21 Men's Sport Shoes | Ideal for Running, Walking & Gym | Lightweight & Casual Sneaker Shoe for Men's & Women's  ",3.7,3559,649.0,1249.0
